ind,sa3,nilf,unemployed,employed,unemp_rate,part_rate,emp_pop
Aboriginal,21201,215,35,397,0.08101851851851852,0.6676970633693973,0.6136012364760433
Aboriginal,21202,189,24,254,0.08633093525179857,0.5952890792291221,0.5438972162740899
Aboriginal,21203,331,54,580,0.08517350157728706,0.6569948186528497,0.6010362694300518
Aboriginal,21204,262,31,187,0.14220183486238533,0.45416666666666666,0.38958333333333334
Aboriginal,21205,131,31,222,0.1225296442687747,0.6588541666666666,0.578125
Aboriginal,21301,257,35,243,0.12589928057553956,0.5196261682242991,0.4542056074766355
Aboriginal,21302,135,21,252,0.07692307692307693,0.6691176470588235,0.6176470588235294
Aboriginal,21303,157,22,310,0.06626506024096386,0.6789366053169734,0.6339468302658486
Aboriginal,21304,795,97,699,0.12185929648241206,0.5003142677561282,0.4393463230672533
Aboriginal,21305,675,111,834,0.11746031746031746,0.5833333333333334,0.5148148148148148
Aboriginal,21401,417,76,642,0.10584958217270195,0.6325991189427312,0.5656387665198238
Aboriginal,21402,373,48,654,0.06837606837606838,0.6530232558139535,0.6083720930232558
Aboriginal,21501,349,41,274,0.13015873015873017,0.4743975903614458,0.4126506024096386
Aboriginal,21502,742,117,674,0.14791403286978508,0.5159817351598174,0.43966079582517936
Aboriginal,21503,423,56,347,0.13895781637717122,0.48789346246973364,0.42009685230024213
Aboriginal,21601,343,46,353,0.11528822055137844,0.5377358490566038,0.4757412398921833
Aboriginal,21602,185,20,220,0.08333333333333333,0.5647058823529412,0.5176470588235295
Aboriginal,21603,755,91,777,0.10483870967741936,0.5348120764017252,0.4787430683918669
Aboriginal,21701,255,40,306,0.11560693641618497,0.5757071547420965,0.5091514143094842
Aboriginal,21703,136,10,186,0.05102040816326531,0.5903614457831325,0.5602409638554217
Aboriginal,21704,209,32,346,0.08465608465608465,0.6439522998296422,0.5894378194207837
Aboriginal,29797,0,0,0,NA,NA,NA
Aboriginal,29999,122,28,28,0.5,0.3146067415730337,0.15730337078651685
total,20101,31983,2671,54273,0.04690573194717617,0.6403454518875032,0.6103095797676746
total,20102,9098,531,14182,0.03609053218242371,0.6179076897232372,0.5956070723615136
total,20103,10012,500,10101,0.047165361758324684,0.5142871003735506,0.49003056323679234
total,20201,28988,2140,47584,0.04303756737189285,0.6317207033235085,0.6045329809940034
total,20202,16010,849,23634,0.0346771229016052,0.6046230212629343,0.5836564344454597
total,20203,3714,230,5067,0.04342080422880876,0.5878370880035512,0.562312728886916
total,20301,4959,292,11244,0.025312066574202496,0.6993634434677175,0.6816611094270991
total,20302,58043,5010,102404,0.04664196473457836,0.649195863577848,0.6189160930030159
total,20303,27096,1462,43435,0.03256342294585384,0.6236300751461947,0.6033225452474547
total,20401,18193,1030,26764,0.03705835791897532,0.6043881966642747,0.5819905625502859
total,20402,14671,693,22087,0.03042142230026339,0.6082614616432138,0.5897572828495902
total,20403,20547,1298,36471,0.03436680875850565,0.6476610192742986,0.62540297688456
total,20501,16195,1042,26587,0.037713996163451446,0.6304536327126689,0.6066767068273092
total,20502,17861,869,19102,0.04351309398628011,0.5278864453372806,0.5049164728272362
total,20503,24422,1100,30008,0.03536067892503536,0.5602016927786782,0.5403925805870701
total,20504,24114,2240,31891,0.06562948639067123,0.5859902137522535,0.5475319769937333
total,20505,14650,944,19186,0.04689518132141083,0.5787809085681426,0.5516388729154686
total,20601,18829,2601,53753,0.04615466515242929,0.7495577457669952,0.7149621589987099
total,20602,11054,1374,31031,0.042400864064187624,0.7456453208771486,0.714029314986539
total,20603,15424,1833,38293,0.04568110452075961,0.7223402340234023,0.6893429342934293
total,20604,31172,7463,90215,0.07640410327811789,0.7580752813348856,0.7001552192471866
total,20605,20066,2829,60917,0.044379255168951776,0.7605832100415215,0.7268290936858683
total,20606,13404,1538,38495,0.03841830489845877,0.7491625652637686,0.7203810094129536
total,20607,17033,2263,57607,0.037798563554367795,0.7785131919430971,0.7490865115795222
total,20701,45277,3939,86866,0.04337866857551897,0.6672814920415632,0.6383357093517144
total,20702,31853,2627,45160,0.054973109841588715,0.6000376695128077,0.5670517327975891
total,20703,30770,3197,52959,0.05693069306930693,0.6460207532844028,0.609242344062766
total,20801,27856,2058,50400,0.03923138510808647,0.6531613417336952,0.6275369175984262
total,20802,36738,3692,83697,0.04224788016798453,0.7040289381037164,0.6742852078919171
total,20803,30184,2659,64142,0.039804793341417045,0.6887766149404547,0.6613600041243491
total,20804,10505,1094,22750,0.04588156349605771,0.694168680310926,0.6623191359282657
total,20901,33284,2866,63782,0.04300204057135998,0.6669335147900572,0.6382540127286555
total,20902,25272,3046,47887,0.05980405630926904,0.6683682173085755,0.6283970868053277
total,20903,15640,1278,35737,0.034526543293259486,0.7029721773810654,0.6787009780647612
total,20904,62451,7245,117866,0.05790857718346109,0.6670380994017978,0.6284108721382796
total,21001,17823,1402,29830,0.044889856557377046,0.6366731220059118,0.608092956885129
total,21002,7646,517,16467,0.03044041450777202,0.6895655704425497,0.6685749086479903
total,21003,20778,2308,38621,0.05639033448166337,0.6632796927415042,0.6258771290129159
total,21004,10396,1079,23224,0.044397810969839115,0.7003948240583302,0.6692988270555348
total,21005,57445,7381,82338,0.08226796999520726,0.6096531760484901,0.5594982468538501
total,21101,42021,3778,81400,0.04435417596092888,0.669643629273815,0.6399421379098892
total,21102,7308,588,13346,0.042198937849863644,0.6559645984370587,0.6282835891159024
